FORMULA,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),Specific Stiffness,Specific Strength,Cost
Co1 Cr1 Fe1 Ni1,25.0,8.2,274.0,226.0,39.0,27.5609756097561,33.41463414634146,14.46442554365398
Co1 Cr1 Mn1 Ni1,25.0,8.1,282.0,222.0,44.0,27.40740740740741,34.81481481481482,14.862783505131683
Co1 Cr1 Ni1,25.0,8.3,300.0,231.0,60.0,27.831325301204817,36.14457831325301,19.087130201323287
Co1 Fe1 Mn1 Ni1,25.0,8.2,170.0,204.0,41.0,24.878048780487806,20.731707317073173,12.5760380392156
Co1 Fe1 Ni1,25.0,8.5,211.0,207.0,31.0,24.352941176470587,24.823529411764707,15.982410856752841
Co1 Mn1 Ni1,25.0,8.4,231.0,202.0,38.0,24.047619047619047,27.5,16.508795231236522
Fe1 Mn1 Ni1,25.0,8.1,221.0,203.0,36.0,25.061728395061728,27.283950617283953,5.54350502379506
Co1 Cr1 Fe1 Ni1,25.0,8.2,148.0,226.0,48.0,27.5609756097561,18.04878048780488,14.46442554365398
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,25.0,7.7,220.0,212.0,56.0,27.532467532467532,28.57142857142857,11.794571273445367
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,25.0,7.5,244.0,205.0,45.0,27.333333333333332,32.53333333333333,11.627403969513573
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,208.0,220.0,62.0,27.5,26.0,11.9871042758269
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,25.0,7.4,1272.0,185.0,2.0,25.0,171.89189189189187,10.812146572366458
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,25.0,7.8,700.0,194.0,22.0,24.871794871794872,89.74358974358975,11.639237400053743
Co1 Cr1 Cu1 Fe1 Ni1,25.0,8.3,230.0,206.0,51.0,24.819277108433734,27.710843373493972,12.603348842294727
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,25.0,7.7,1965.0,107.0,5.0,13.896103896103895,255.19480519480518,0.03277566017499735
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,25.0,8.1,1965.0,110.0,5.0,13.580246913580247,242.5925925925926,0.03095095481746521
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,25.0,9.1,1841.0,107.0,10.0,11.758241758241759,202.30769230769232,181.60468261253823
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,25.0,7.6,2035.0,109.0,5.0,14.342105263157896,267.7631578947369,0.05685002057712115
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,25.0,6.8,1280.0,105.0,4.0,15.441176470588236,188.23529411764707,0.12915782837103645
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.5,1188.0,105.0,50.0,11.052631578947368,125.05263157894737,267.96336259681044
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.3,1302.0,104.0,46.0,11.18279569892473,140.0,265.5889855518493
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.1,1415.0,103.0,30.0,11.31868131868132,155.4945054945055,262.67992729472905
Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1073.0,107.0,50.0,10.808080808080808,108.38383838383838,271.60616647663596
Al0.25 Mo1 Nb1 Ti1 V1,25.0,7.1,1250.0,161.0,13.0,22.67605633802817,176.05633802816902,13.108336820284183
Al0.5 Mo1 Nb1 Ti1 V1,25.0,6.8,1625.0,156.0,11.0,22.941176470588236,238.97058823529412,12.854827459986335
Al0.75 Mo1 Nb1 Ti1 V1,25.0,6.6,1260.0,151.0,8.0,22.87878787878788,190.9090909090909,12.612425574633404
Al1 Mo1 Nb1 Ti1 V1,25.0,6.4,1375.0,147.0,3.0,22.96875,214.84375,95.88
Mo1 Nb1 Ti1 V1,25.0,7.3,1200.0,167.0,26.0,22.876712328767123,164.38356164383563,13.373735016922987
